"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"GALNT3",598.076798213386,-2.00122833576317,0.474975609619873,-4.21332863252656,2.51634521508043e-05,0.00347335948570942
"TRNAL-UAG.3",12.5903043068325,-4.86160537417047,1.1533519090447,-4.21519688487552,2.49560375351415e-05,0.00347335948570942
"LOC119872054",40.2132823864791,-3.7671572842958,0.895046077000676,-4.20889759879139,2.56619648001421e-05,0.00352342850033697
"PLEKHA7",584.929557199381,-1.1753942188,0.279478593364911,-4.2056681502805,2.60311960912063e-05,0.0035406372085373
"LOC119867384",86.5035429131663,-5.36000480161159,1.27454791371479,-4.20541648056945,2.60601813807562e-05,0.0035406372085373
"TRNAP-UGG",24.2913821239979,-8.47135269467757,2.01747216647678,-4.19899358982065,2.68103909170484e-05,0.00362359189738233
"TRNAG-GCC.5",352.222735977449,-11.483641161985,2.73646763035553,-4.19652000798307,2.71047527127099e-05,0.00364439550722705
"LOC610388",415.532432513528,2.31642702348141,0.553039435710082,4.18853859943497,2.80756562601606e-05,0.00375548082449056
"RASGRF1",7250.8934606552,1.31541523585668,0.314528965131742,4.18217519428048,2.88733338808438e-05,0.00383574525401953
"LOC119877776",1071906.54430497,-5.06677291434533,1.21173934110378,-4.18140497916818,2.89713321690878e-05,0.00383574525401953
"SAMD9L",618.433779961508,-2.20417737505305,0.527399649521399,-4.17933037508326,2.9236869526045e-05,0.00385125261015669
"CD84",183.634039853388,-1.49400217221108,0.357637032928642,-4.17742581067988,2.94826781476395e-05,0.00386401766631942
"EVI2B",287.579801348186,-1.81503700445322,0.43587879720776,-4.16408647559905,3.12601628387528e-05,0.00407638806867153
"CPM",286.092933573872,-1.62723112361784,0.39093338670146,-4.16242556653389,3.14884800218784e-05,0.00408563028283872
"ARHGEF6",1203.2246105608,-1.10857787243431,0.267051550614387,-4.15117556847688,3.30771898332524e-05,0.00427041331429303
"LOC119877738",11926.2209184323,-6.1724030539628,1.48915559267971,-4.14490136846994,3.39960006166056e-05,0.00436730800000453
"TRNAG-GCC",644.607518639771,-12.6116379694471,3.0464891575094,-4.13972849316082,3.4771711140894e-05,0.00442316619659902
"TRNAE-CUC.5",556.542288481476,-10.0176183016005,2.41931777532595,-4.14067899792572,3.46279268521497e-05,0.00442316619659902
"LOC119865482",28.6278114946804,-6.1097472140113,1.4795214304357,-4.12954289699749,3.63485181417216e-05,0.00460119046720817
"LOC102156046",109.439753139845,-1.94577868289646,0.472120927515306,-4.12135656247388,3.76647949658129e-05,0.00469904533347521
"LOC119873790",59.124070966133,-8.6209305819138,2.09135913042042,-4.12216651674778,3.7532572868672e-05,0.00469904533347521
"TRNAN-GUU.7",22.4169098558653,-8.35309968976979,2.02673948796019,-4.12144715163997,3.76499846800325e-05,0.00469904533347521
"TRNAT-UGU",17.0619823907991,-6.27971189010351,1.5268778868089,-4.1127793809548,3.90923937227914e-05,0.00485381634979156
"LOC610641",988.079853708137,2.11195074870303,0.51418216044987,4.10739794405788,4.0014148661776e-05,0.00486115422932933
"LOC119866961",40.4195286428396,-6.66045656392258,1.62174418873745,-4.10697113032843,4.00881312168199e-05,0.00486115422932933
"TRNAH-GUG.4",26.5380908875131,-8.35415006401851,2.03386821062303,-4.10751789146624,3.99933806886636e-05,0.00486115422932933
"TRNAV-CAC.7",139.624410868653,-11.7383459640971,2.85772842840802,-4.1075792393038,3.99827627357104e-05,0.00486115422932933
"TRNAM-CAU.17",264.374955324442,-12.5250121205054,3.04849897670526,-4.10858334420113,3.9809354177632e-05,0.00486115422932933
"ABI3BP",816.982522076888,-1.72094450733171,0.419140512565144,-4.10588920836955,4.02762502019418e-05,0.00486124973367623
"HEG1",1829.56085868706,-1.31955967096799,0.321516197076765,-4.10417790134825,4.05755148566788e-05,0.00487469727097599
"ADGRF5",2698.02091717233,-1.16808788787655,0.284831436623686,-4.10097951870322,4.11404975931364e-05,0.00490297460222423
"LOC119864848",337.300079713347,-4.26197465732705,1.03932648712914,-4.10070820873583,4.11887654445042e-05,0.00490297460222423
"EFCC1",296.847308973142,-1.82204409850663,0.445057073884573,-4.09395604613888,4.24074736808324e-05,0.00502499516903014
"LOC119872768",52.4088404023706,-4.28924626843006,1.04912495061691,-4.08840364144222,4.34351898178862e-05,0.00505939273716044
"LOC102154452",10.3673306220715,-7.46252581944287,1.82539204547511,-4.08817702363797,4.34776331555599e-05,0.00505939273716044
