"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"TRNAG-CCC.3",220.644950944785,-27.7354560563031,3.00347389804949,-9.23445882926268,2.59594921619205e-20,7.18117431675208e-16
"HOXB5",56.6111646099795,-7.16339908204129,1.04241935373565,-6.87189762581663,6.33534157462108e-12,8.76272769893715e-08
"LOC119872052",140.252359501328,-5.83031248755934,0.906791147889748,-6.42960895805769,1.27932629312079e-10,1.17966677488668e-06
"LOC119873493",122.306716044071,-6.069150159689,0.999455488803934,-6.07245668033907,1.25968086415538e-09,8.71163793628254e-06
"LOC102157137",76.7840992934333,-2.53055239768789,0.424398883195544,-5.96267449771286,2.48142426992862e-09,1.37287279158071e-05
"LOC102152165",156.985269493489,-2.4371495373491,0.415936209627267,-5.85943103999795,4.64455704726146e-09,1.66162794470098e-05
"LOC119871803",44.7307685572205,-4.47217263939637,0.759636194950576,-5.8872558589541,3.92660590452674e-09,1.66162794470098e-05
"LOC119877774",1144524.27712603,-4.66357404739584,0.796677850704637,-5.85377645841548,4.8053441628196e-09,1.66162794470098e-05
"TRNAD-GUC",37.6906458288448,-6.90993860149696,1.19985518840208,-5.75897714014916,8.46251607624055e-09,2.38522640683134e-05
"LOC119865458",70.2868567354843,-5.42261543977592,0.942110683634767,-5.75581567428454,8.62244299906496e-09,2.38522640683134e-05
"MIR6516",63.4940627382102,-5.52857035981339,0.981264649295568,-5.63412771853368,1.75946595383708e-08,4.42473697099957e-05
"LOC102152268",20.8841786630502,-6.70961723273109,1.21836357007746,-5.50707309174102,3.64848804875332e-08,8.41067707438858e-05
"TGM6",6.27786716232406,-6.38782958192615,1.16372561273635,-5.48912003999465,4.03941045123373e-08,8.59555471634451e-05
"LOC102154792",103.780566875829,-2.38489687208552,0.440161359012596,-5.41823316211924,6.01908878659421e-08,0.000107618898028359
"LOC119873789",41.7367650218151,-6.36487968346454,1.17601859581109,-5.41222707373493,6.22456844324094e-08,0.000107618898028359
"LOC119865805",103.23129533944,-5.6716806730177,1.04505573375993,-5.42715616956809,5.72590257163366e-08,0.000107618898028359
"LOC111096046",18.3119077086094,-6.6954734031531,1.24417875484616,-5.38144006805595,7.38923054708411e-08,0.000113560158124438
"LOC119873495",2429.80870119768,-8.05106002161572,1.49343049361791,-5.39098408397411,7.00728815554661e-08,0.000113560158124438
"LOC119873489",62.5767993695438,-5.61116088410232,1.04780941415677,-5.35513501624525,8.5492554138775e-08,0.000119084632366746
"LOC119867494",1725.15139394106,-2.28732387377252,0.427228795269042,-5.35386167576113,8.60966868139724e-08,0.000119084632366746
